Date,Open,High,Low,Close,Adj Close,Volume,Year
10/27/2016,72.709999,72.849998,70.389999,70.68,70.300446,9716600,2016
10/28/2016,71.019997,72.099998,70.43,70.559998,70.181091,7271400,2016
10/31/2016,70.790001,71.629997,70.75,71.160004,70.777878,6309700,2016
11/1/2016,71.419998,71.809998,68.290001,69.050003,68.679199,11830600,2016
11/2/2016,69.580002,70.519997,68.639999,68.760002,68.390755,7396200,2016
11/3/2016,69.080002,69.139999,66.639999,67.959999,67.595055,7741600,2016
11/4/2016,67.510002,68.730003,66.580002,67.57,67.207146,8219500,2016
11/7/2016,69.550003,71.720001,69.5,71.269997,70.887276,12189500,2016
11/8/2016,71.540001,71.769997,70.5,71.160004,70.777878,10717500,2016
11/9/2016,69.230003,70.900002,68.720001,69.959999,69.584312,11413300,2016
11/10/2016,71.489998,71.5,66.760002,67.769997,67.406067,21732000,2016
11/11/2016,79.510002,88.769997,78.5,87.970001,87.497597,54383600,2016
11/14/2016,88.089996,88.190002,83.620003,83.639999,83.190842,33702100,2016
11/15/2016,84.290001,87.449997,83.93,86.190002,85.72715,15652300,2016
11/16/2016,87.339996,92.559998,86.349998,91.629997,91.137947,24676400,2016
11/17/2016,92.309998,94.790001,90.650002,92.389999,91.893867,20824700,2016
11/18/2016,92.389999,94.330002,91.800003,93.360001,92.858658,14401500,2016
11/21/2016,94.089996,94.349998,92.400002,92.980003,92.480698,10910900,2016
11/22/2016,93.300003,93.739998,92.379997,93.650002,93.147102,8259200,2016
11/23/2016,93.720001,95.25,92.769997,93.970001,93.605316,11044000,2016
11/25/2016,94.419998,95.099998,93.410004,94.160004,93.794586,4889100,2016
11/28/2016,93.870003,94.739998,93.599998,94.110001,93.744766,6968400,2016
11/29/2016,94,94.440002,92.529999,93.25,92.8881,11114200,2016
11/30/2016,93.599998,94.160004,92.099998,92.199997,91.842186,11012500,2016
12/1/2016,92.099998,92.169998,84.769997,87.639999,87.299881,25888100,2016
12/2/2016,86.25,88.800003,85.120003,88.449997,88.106735,11957300,2016
12/5/2016,89.989998,92.610001,89,91.879997,91.523422,15057100,2016
12/6/2016,92.209999,93.730003,91.57,93.389999,93.027565,12469900,2016
12/7/2016,92.839996,95.300003,92.099998,95.07,94.701042,12020100,2016
12/8/2016,95.190002,96.620003,93.050003,93.480003,93.117218,9538600,2016
12/9/2016,94.199997,94.269997,90.709999,91.82,91.463654,9557800,2016
12/12/2016,89.849998,89.949997,87.540001,89.589996,89.242302,15033300,2016
12/13/2016,90.089996,92.290001,90.050003,91.169998,90.816185,9694900,2016
12/14/2016,92.540001,97.110001,91.57,96.449997,96.075676,24599500,2016
12/15/2016,96.900002,99.940002,96.599998,98.709999,98.326912,18663700,2016
12/16/2016,99.830002,100.699997,97.730003,100.410004,100.020325,26861700,2016
12/19/2016,99.699997,102.449997,99,101.629997,101.23558,18616400,2016
12/20/2016,104.580002,106.129997,104.120003,105.169998,104.761848,21201400,2016
12/21/2016,105.639999,105.949997,103.709999,105.830002,105.419289,14403400,2016
12/22/2016,106.82,108.870003,106.529999,107.110001,106.694313,17965300,2016
12/23/2016,106.379997,109.839996,106.269997,109.779999,109.353958,16168700,2016
12/27/2016,112.059998,117.360001,111.220001,117.32,116.864693,29856800,2016
12/28/2016,119.599998,119.93,108.690002,109.25,108.826019,57394100,2016
12/29/2016,104.900002,111.489998,102.800003,111.43,110.997551,54036800,2016
12/30/2016,111.349998,111.919998,106.300003,106.739998,106.325752,30323300,2016
1/3/2017,104.400002,106.370003,99.379997,102.010002,101.61412,37549900,2017
1/4/2017,103.400002,105.5,101.529999,104.389999,103.984879,29980500,2017
1/5/2017,104.529999,105.82,101.050003,101.739998,101.345154,24607400,2017
1/6/2017,102.849998,104.25,101.199997,103.099998,102.699883,20571400,2017
1/9/2017,103.5,108,103.5,107.279999,106.863663,22857700,2017
1/10/2017,107.809998,109.190002,105.629997,106.470001,106.056801,22023000,2017
1/11/2017,106,106.199997,104.150002,105.160004,104.751884,13141600,2017
1/12/2017,104.230003,104.699997,101.620003,103.440002,103.038567,15640400,2017
1/13/2017,103.599998,105,103.059998,103.43,103.028595,11445500,2017
1/17/2017,103,103.199997,100.57,101.110001,100.717606,14497600,2017
1/18/2017,100.239998,103.230003,99.110001,102.949997,102.550461,16360600,2017
1/19/2017,103.07,106.459999,102.980003,105.160004,104.751884,16121800,2017
1/20/2017,106.080002,106.800003,103.120003,104.010002,103.606346,12300600,2017
1/23/2017,103.800003,105.900002,103.699997,105.089996,104.682152,9247600,2017
1/24/2017,105.5,107.580002,104.900002,107.330002,106.913467,10701300,2017
1/25/2017,109.050003,109.300003,106.330002,107.790001,107.371681,13069000,2017
1/26/2017,107.900002,109.949997,106.699997,109.650002,109.224464,11470000,2017
1/27/2017,109.93,111.889999,108.849998,111.769997,111.336227,11799900,2017
1/30/2017,110.919998,111.010002,107.910004,110.019997,109.593018,12400100,2017
1/31/2017,108.949997,110.050003,108.199997,109.18,108.756279,9068900,2017
2/1/2017,110.580002,114.120003,109.860001,113.949997,113.507767,14750100,2017
2/2/2017,113.300003,115.739998,112.059998,115.389999,114.942184,12081000,2017
2/3/2017,115.449997,115.900002,113.900002,114.379997,113.936104,9318600,2017
2/6/2017,114,117.330002,114,117.309998,116.854736,12669200,2017
2/7/2017,118.699997,120.919998,117.900002,119.129997,118.667664,18655600,2017
2/8/2017,118.400002,119.309998,116.379997,118.610001,118.149681,11239500,2017
2/9/2017,118.860001,119.059998,115.599998,116.379997,115.928345,21064200,2017
2/10/2017,119.93,120.699997,112.599998,113.620003,113.179062,41277300,2017
2/13/2017,113.389999,113.980003,108.199997,108.379997,107.959381,29518100,2017
2/14/2017,107.989998,110.150002,106.290001,108.779999,108.357834,21247300,2017
2/15/2017,108.900002,109.800003,107.760002,109,108.576988,9325500,2017
2/16/2017,109.389999,109.440002,105.660004,107.25,106.833771,16179400,2017
